,,,,,,,Net Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,,,Target Vs Achievement MT,,,,,,,,,,,,,,,,,,,,,,,
,,,MT Account Wise Revenue (in lacs),,,,,,,,,,,,,,,,,,,,,,,
,,,Priority,Grand Total,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0%,4598,46.65,
,,,,MT Account,Hyper link,FY 25-26,FY 25-26 (Target),Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,FY 25-26 (Till Date),% Reached,% Budgeted,% Diff,Store Count,Listing Fees,Date
Net PrimaryDmart,Net Primary,,1,Dmart,Dmart,,,,,,,,,,,,,,,0.00,0%,0%,0%,390,0,
Net PrimaryReliance Retail,Net Primary,,1,Reliance Retail,Reliance Retail,,,,,,,,,,,,,,,0.00,0%,0%,0%,878,0,
Net PrimaryMore Retail,Net Primary,,1,More Retail,More Retail,,,,,,,,,,,,,,,0.00,0%,0%,0%,770,0,
Net PrimarySpencers,Net Primary,,1,Spencers,Spencer,,,,,,,,,,,,,,,0.00,0%,0%,0%,88,0,
Net PrimaryMetro Cnc,Net Primary,,1,Metro Cnc,Metro CNC,,,,,,,,,,,,,,,0.00,0%,0%,0%,226,3.5,
Net PrimaryBig Basket,Net Primary,,1,Big Basket,Big Basket,,,,,,,,,,,,,,,0.00,0%,0%,0%,0,0,
Net PrimaryBlinkit,Net Primary,,1,Blinkit,Blinkit,,,,,,,,,,,,,,,0.00,0%,0%,0%,0,0,
Net PrimarySwiggy,Net Primary,,1,Swiggy,Swiggy Instamart,,,,,,,,,,,,,,,0.00,0%,0%,0%,0,0,
Net PrimaryDmart Ready,Net Primary,,1,Dmart Ready,Dmart Ready,,,,,,,,,,,,,,,0.00,0%,0%,0%,30,0,
Net PrimaryZepto,Net Primary,,1,Zepto,Zepto,,,,,,,,,,,,,,,0.00,0%,0%,0%,0,0,
Net PrimaryStar Bazaar,Net Primary,,1,Star Bazaar,Star Bazaar,,,,,,,,,,,,,,,0.00,0%,0%,0%,56,1.5,
Net PrimaryShell,Net Primary,,1,Shell,Shell,,,,,,,,,,,,,,,0.00,0%,0%,0%,255,0,
Net PrimaryWellness,Net Primary,,1,Wellness,Wellness,,,,,,,,,,,,,,,0.00,0%,0%,0%,412,0,
Net PrimaryNoble Plus,Net Primary,,1,Noble Plus,Noble Plus,,,,,,,,,,,,,,,0.00,0%,0%,0%,38,0,
Net PrimaryRatnadeep,Net Primary,,1,Ratnadeep,Ratnadeep,,,,,,,,,,,,,,,0.00,0%,0%,0%,178,5.5,
Net PrimaryApollo,Net Primary,,2,Apollo,Apollo,,,,,,,,,,,,,,,0.00,0%,0%,0%,576,1.5,
Net PrimaryGiri,Net Primary,,2,Giri,Giri,,,,,,,,,,,,,,,0.00,0%,0%,0%,36,0,
Net PrimaryNamdhari,Net Primary,,1,Namdhari,Namdhari,,,,,,,,,,,,,,,0.00,0%,0%,0%,28,1.5,
Net PrimaryBooker,Net Primary,,2,Booker,Booker,,,,,,,,,,,,,,,0.00,0%,0%,0%,3,2.4,
